var,mod,2006,2007,2008
totalpop,0,25883000,26239000,26580000
tu99,0,6385000,6446000,6679000
tu99,1,1581000,1597000,1661000
tu99,2,1459000,1549000,1511000
tu99,3,1433000,1477000,1395000
tu99,4,1556000,1634000,1673000
tu99,5,1838000,1849000,1875000
tu99,6,1480000,1492000,1541000
tu99,7,5938000,5965000,5995000
tu99,8,4213000,4230000,4250000
cstotpragr,0,6000,5000,3000
cstotpragr,1,369000,306000,313000
cstotpragr,2,1181000,1215000,1247000
cstotpragr,3,2951000,2925000,3062000
cstotpragr,4,3605000,3695000,3811000
cstotpragr,5,3056000,3075000,3073000
cstotpragr,6,4475000,4582000,4568000
cstotpragr,7,8889000,9132000,9236000
cstotpragr,8,1351000,1304000,1267000
naf16pr,-1,11275000,11320000,11442000
naf16pr,0,15000,18000,115000
naf16pr,1,541000,496000,489000
naf16pr,2,360000,381000,381000
naf16pr,3,368000,377000,389000
naf16pr,4,236000,273000,267000
naf16pr,5,655000,643000,597000
naf16pr,6,981000,946000,906000
naf16pr,7,209000,162000,191000
naf16pr,8,1236000,1298000,1395000
naf16pr,9,1841000,1937000,1921000
naf16pr,10,810000,930000,904000
naf16pr,11,438000,414000,392000
naf16pr,12,207000,202000,233000
naf16pr,13,2012000,2041000,2095000
naf16pr,14,1037000,1009000,1057000
naf16pr,15,2049000,2052000,2107000
naf16pr,16,1613000,1740000,1699000
typmen15,1,4044000,4095000,4258000
typmen15,2,4412000,4605000,4658000
typmen15,3,1460000,1527000,1563000
typmen15,4,310000,304000,273000
typmen15,5,336000,339000,324000
typmen15,6,1208000,1219000,1211000
typmen15,7,2364000,2382000,2495000
typmen15,8,3507000,3547000,3579000
typmen15,9,1799000,1726000,1672000
typmen15,10,5376000,5459000,5497000
typmen15,11,247000,239000,225000
typmen15,12,185000,172000,164000
typmen15,13,181000,194000,198000
typmen15,14,321000,313000,270000
typmen15,15,132000,118000,194000
ageq,0,728000,802000,840000
ageq,1,1849000,1806000,1880000
ageq,2,2225000,2140000,2075000
ageq,3,2450000,2449000,2522000
ageq,4,2537000,2562000,2508000
ageq,5,2499000,2511000,2545000
ageq,6,2443000,2492000,2475000
ageq,7,2491000,2520000,2513000
ageq,8,1824000,1990000,2189000
ageq,9,1525000,1576000,1614000
ageq,10,1613000,1626000,1587000
ageq,11,1555000,1588000,1580000
ageq,12,2144000,2177000,2252000
nbinde,1,8457000,8700000,8915000
nbinde,2,8605000,8755000,8881000
nbinde,3,3687000,3741000,3767000
nbinde,4,3505000,3412000,3417000
nbinde,5,1221000,1197000,1225000
nbinde,6,408000,433000,375000
ddipl,1,3117000,3185000,3364000
ddipl,2,2374000,2400000,2454000
ddipl,3,3481000,3715000,3910000
ddipl,4,6187000,6152000,6284000
ddipl,5,1952000,1977000,1885000
ddipl,6,8773000,8809000,8684000
act5,1,12710000,13012000,13190000
act5,2,1898000,1906000,1948000
act5,3,1100000,952000,1006000
act5,4,8874000,9124000,9234000
act5,5,1302000,1245000,1202000
so,0,24000,39000,27000
so,1,4946000,5130000,5000000
so,2,10261000,10356000,10757000
so,3,3650000,3866000,3766000
so,4,5796000,5720000,6024000
so,5,415000,381000,276000
so,6,791000,747000,730000
