CODGEO,LIBCOM_2014,REG,DEP,Zonage
01001,L'Abergement-Clémenciat,82,01,3
01002,L'Abergement-de-Varey,82,01,3
01004,Ambérieu-en-Bugey,82,01,3
01005,Ambérieux-en-Dombes,82,01,3
01006,Ambléon,82,01,3
01007,Ambronay,82,01,3
01008,Ambutrix,82,01,3
01009,Andert-et-Condon,82,01,3
01010,Anglefort,82,01,3
01011,Apremont,82,01,3
01012,Aranc,82,01,3
01013,Arandas,82,01,3
01014,Arbent,82,01,3
01015,Arbignieu,82,01,3
01016,Arbigny,82,01,3
01017,Argis,82,01,3
01019,Armix,82,01,3
01021,Ars-sur-Formans,82,01,3
01022,Artemare,82,01,3
01023,Asnières-sur-Saône,82,01,3
01024,Attignat,82,01,3
01025,Bâgé-la-Ville,82,01,3
01026,Bâgé-le-Châtel,82,01,3
01027,Balan,82,01,3
01028,Baneins,82,01,3
01029,Beaupont,82,01,3
01030,Beauregard,82,01,2
01031,Bellignat,82,01,3
01032,Béligneux,82,01,3
01033,Bellegarde-sur-Valserine,82,01,3
01034,Belley,82,01,3
01035,Belleydoux,82,01,3
01036,Belmont-Luthézieu,82,01,3
01037,Bénonces,82,01,3
01038,Bény,82,01,3
01039,Béon,82,01,3
01040,Béréziat,82,01,3
01041,Bettant,82,01,3
01042,Bey,82,01,3
01043,Beynost,82,01,2
01044,Billiat,82,01,3
01045,Birieux,82,01,3
01046,Biziat,82,01,3
01047,Blyes,82,01,3
01049,La Boisse,82,01,2
01050,Boissey,82,01,3
01051,Bolozon,82,01,3
01052,Bouligneux,82,01,3
01053,Bourg-en-Bresse,82,01,3
01054,Bourg-Saint-Christophe,82,01,3
01056,Boyeux-Saint-Jérôme,82,01,3
01057,Boz,82,01,3
01058,Brégnier-Cordon,82,01,3
01059,Brénaz,82,01,3
01060,Brénod,82,01,3
01061,Brens,82,01,3
01062,Bressolles,82,01,3
01063,Brion,82,01,3
01064,Briord,82,01,3
01065,Buellas,82,01,3
01066,La Burbanche,82,01,3
01067,Ceignes,82,01,3
01068,Cerdon,82,01,3
01069,Certines,82,01,3
01071,Cessy,82,01,2
01072,Ceyzériat,82,01,3
01073,Ceyzérieu,82,01,3
01074,Chalamont,82,01,3
01075,Chaleins,82,01,3
01076,Chaley,82,01,3
01077,Challes-la-Montagne,82,01,3
01078,Challex,82,01,2
01079,Champagne-en-Valromey,82,01,3
01080,Champdor,82,01,3
01081,Champfromier,82,01,3
01082,Chanay,82,01,3
01083,Chaneins,82,01,3
01084,Chanoz-Châtenay,82,01,3
01085,La Chapelle-du-Châtelard,82,01,3
01087,Charix,82,01,3
01088,Charnoz-sur-Ain,82,01,3
01089,Château-Gaillard,82,01,3
