PTS,echelon_0,echelon_1,echelon_2,echelon_3,echelon_4,echelon_5,echelon_6
0,33100,22500,18190,16070,13990,11950,7540
1,36760,25000,20210,17850,15540,13280,8370
2,40450,27500,22230,19640,17100,14600,9220
3,44120,30000,24250,21430,18640,15920,10050
4,47800,32500,26270,23210,20200,17250,10880
5,51480,35010,28300,25000,21760,18580,11730
6,55150,37510,30320,26770,23310,19910,12570
7,58830,40010,32340,28560,24860,21240,13410
8,62510,42510,34360,30350,26420,22560,14240
9,66180,45000,36380,32130,27970,23890,15080
10,69860,47510,38400,33920,29520,25220,15910
11,73540,50010,40410,35710,31090,26540,16750
12,77210,52500,42430,37490,32630,27870,17590
13,80890,55000,44450,39280,34180,29200,18420
14,84560,57520,46480,41050,35750,30530,19270
15,88250,60010,48500,42840,37300,31860,20110
16,91920,62510,50520,44630,38840,33190,20940
17,95610,65010,52540,46410,40400,34510,21780
