PTS,echelon_0,echelon_1,echelon_2,echelon_3,echelon_4,echelon_5,echelon_6,echelon_7
0,33100,22500,18190,16070,13990,11950,7540,250
1,36760,25000,20210,17850,15540,13280,8370,500
2,40450,27500,22230,19640,17100,14600,9220,750
3,44120,30000,24250,21430,18640,15920,10050,1000
4,47800,32500,26270,23210,20200,17250,10880,1250
5,51480,35010,28300,25000,21760,18580,11730,1500
6,55150,37510,30320,26770,23310,19910,12570,1750
7,58830,40010,32340,28560,24860,21240,13410,2000
8,62510,42510,34360,30350,26420,22560,14240,2250
9,66180,45000,36380,32130,27970,23890,15080,2500
10,69860,47510,38400,33920,29520,25220,15910,2750
11,73540,50010,40410,35710,31090,26540,16750,3000
12,77210,52500,42430,37490,32630,27870,17590,3250
13,80890,55000,44450,39280,34180,29200,18420,3500
14,84560,57520,46480,41050,35750,30530,19270,3750
15,88250,60010,48500,42840,37300,31860,20110,4000
16,91920,62510,50520,44630,38840,33190,20940,4250
17,95610,65010,52540,46410,40400,34510,21780,4500
