code postal;code INSEE;nom commune (Poste);nom commune (ACOSS); AOT;taux;SMT;taux additionnel
01400;01001;L ABERGEMENT CLEMENCIAT               ;;;;;
01640;01002;L ABERGEMENT DE VAREY                 ;;;;;
01500;01004;AMBERIEU EN BUGEY                     ;AMBERIEU EN BUGEY;HOTEL DE VILLE D'AMBERIEU;0,45;;
01330;01005;AMBERIEUX EN DOMBES                   ;;;;;
01300;01006;AMBLEON                               ;;;;;
01500;01007;AMBRONAY                              ;;;;;
01500;01008;AMBUTRIX                              ;;;;;
01300;01009;ANDERT ET CONDON                      ;;;;;
01350;01010;ANGLEFORT                             ;;;;;
01100;01011;APREMONT                              ;;;;;
01110;01012;ARANC                                 ;;;;;
01230;01013;ARANDAS                               ;;;;;
01100;01014;ARBENT                                ;;;;;
01300;01015;ARBIGNIEU                             ;;;;;
01190;01016;ARBIGNY                               ;;;;;
01230;01017;ARGIS                                 ;;;;;
01510;01019;ARMIX                                 ;;;;;
01480;01021;ARS SUR FORMANS                       ;;;;;
01510;01022;ARTEMARE                              ;;;;;
01570;01023;ASNIERES SUR SAONE                    ;;;;;
01340;01024;ATTIGNAT                              ;;;;;
01380;01025;BAGE LA VILLE                         ;;;;;
01380;01026;BAGE LE CHATEL                        ;;;;;
01360;01027;BALAN                                 ;;;;;
01990;01028;BANEINS                               ;;;;;
01270;01029;BEAUPONT                              ;;;;;
01480;01030;BEAUREGARD                            ;;;;;
01100;01031;BELLIGNAT                             ;;;;;
01360;01032;BELIGNEUX                             ;;;;;
01200;01033;BELLEGARDE SUR VALSERINE              ;BELLEGARDE SUR VALSERINE;COMMUNE DE BELLEGARDE;0,25;;
01300;01034;BELLEY                                ;;;;;
01130;01035;BELLEYDOUX                            ;;;;;
01260;01036;BELMONT LUTHEZIEU                     ;;;;;
01470;01037;BENONCES                              ;;;;;
01370;01038;BENY                                  ;;;;;
01350;01039;BEON                                  ;;;;;
01340;01040;BEREZIAT                              ;;;;;
01500;01041;BETTANT                               ;;;;;
01290;01042;BEY                                   ;;;;;
01700;01043;BEYNOST                               ;BEYNOST;COMMUNAUTE DE COMMUNES DE MIRIBEL ET DU PLATEAU;0,6;;
01200;01044;BILLIAT                               ;;;;;
01330;01045;BIRIEUX                               ;;;;;
01290;01046;BIZIAT                                ;;;;;
01150;01047;BLYES                                 ;;;;;
01120;01049;LA BOISSE                             ;;;;;
01190;01050;BOISSEY                               ;;;;;
01380;01050;BOISSEY                               ;;;;;
01450;01051;BOLOZON                               ;;;;;
01330;01052;BOULIGNEUX                            ;;;;;
01000;01053;BOURG EN BRESSE                       ;BOURG EN BRESSE;COMMUNAUTE D'AGGLOMERATION DE BOURG;0,75;;
01800;01054;BOURG ST CHRISTOPHE                   ;;;;;
01640;01056;BOYEUX ST JEROME                      ;;;;;
01190;01057;BOZ                                   ;;;;;
01300;01058;BREGNIER CORDON                       ;;;;;
01260;01059;BRENAZ                                ;;;;;
01110;01060;BRENOD                                ;;;;;
01300;01061;BRENS                                 ;;;;;
01360;01062;BRESSOLLES                            ;;;;;
01460;01063;BRION                                 ;;;;;
01470;01064;BRIORD                                ;;;;;
01310;01065;BUELLAS                               ;BUELLAS;COMMUNAUTE D'AGGLOMERATION DE BOURG;0,75;;
01510;01066;LA BURBANCHE                          ;;;;;
01430;01067;CEIGNES                               ;;;;;
01450;01068;CERDON                                ;;;;;
01240;01069;CERTINES                              ;;;;;
01170;01071;CESSY                                 ;;;;;
01250;01072;CEYZERIAT                             ;;;;;
01350;01073;CEYZERIEU                             ;;;;;
01320;01074;CHALAMONT                             ;;;;;
01480;01075;CHALEINS                              ;;;;;
01230;01076;CHALEY                                ;;;;;
01450;01077;CHALLES LA MONTAGNE                   ;;;;;
01630;01078;CHALLEX                               ;;;;;
01260;01079;CHAMPAGNE EN VALROMEY                 ;;;;;
01110;01080;CHAMPDOR                              ;;;;;
01410;01081;CHAMPFROMIER                          ;;;;;
01420;01082;CHANAY                                ;;;;;
01990;01083;CHANEINS                              ;;;;;
01400;01084;CHANOZ CHATENAY                       ;;;;;
01240;01085;LA CHAPELLE DU CHATELARD              ;;;;;
01130;01087;CHARIX                                ;;;;;
01800;01088;CHARNOZ SUR AIN                       ;;;;;
01500;01089;CHATEAU GAILLARD                      ;;;;;
01320;01090;CHATENAY                              ;;;;;
01200;01091;CHATILLON EN MICHAILLE                ;;;;;
01320;01092;CHATILLON LA PALUD                    ;;;;;
01400;01093;CHATILLON SUR CHALARONNE              ;;;;;
01190;01094;CHAVANNES SUR REYSSOUZE               ;;;;;
01250;01095;CHAVANNES SUR SURAN                   ;;;;;
01660;01096;CHAVEYRIAT                            ;;;;;
01510;01097;CHAVORNAY                             ;;;;;
01300;01098;CHAZEY BONS                           ;;;;;
01150;01099;CHAZEY SUR AIN                        ;;;;;
01510;01100;CHEIGNIEU LA BALME                    ;;;;;
01430;01101;CHEVILLARD                            ;;;;;
01190;01102;CHEVROUX                              ;;;;;
01170;01103;CHEVRY                                ;;;;;
01200;01104;CHEZERY FORENS                        ;;;;;
01410;01104;CHEZERY FORENS                        ;;;;;
01390;01105;CIVRIEUX                              ;CIVRIEUX;COMMUNAUTE DE COMMUNES SAONE;0,5;;
01250;01106;CIZE                                  ;;;;;
01230;01107;CLEYZIEU                              ;;;;;
01270;01108;COLIGNY                               ;;;;;
01550;01109;COLLONGES                             ;;;;;
01300;01110;COLOMIEU                              ;;;;;
01230;01111;CONAND                                ;;;;;
01430;01112;CONDAMINE                             ;;;;;
01400;01113;CONDEISSIAT                           ;;;;;
01200;01114;CONFORT                               ;;;;;
01310;01115;CONFRANCON                            ;;;;;
01300;01116;CONTREVOZ                             ;;;;;
01300;01117;CONZIEU                               ;;;;;
01420;01118;CORBONOD                              ;;;;;
01110;01119;CORCELLES                             ;;;;;
01110;01121;CORLIER                               ;;;;;
01110;01122;CORMARANCHE EN BUGEY                  ;;;;;
01290;01123;CORMORANCHE SUR SAONE                 ;;;;;
01560;01124;CORMOZ                                ;;;;;
01250;01125;CORVEISSIAT                           ;;;;;
01370;01127;COURMANGOUX                           ;;;;;
01560;01128;COURTES                               ;;;;;
01320;01129;CRANS                                 ;;;;;
01340;01130;CRAS SUR REYSSOUZE                    ;;;;;
01350;01133;CRESSIN ROCHEFORT                     ;;;;;
01290;01134;CROTTET                               ;;;;;
01750;01134;CROTTET                               ;;;;;
01170;01135;CROZET                                ;;;;;
01290;01136;CRUZILLES LES MEPILLAT                ;;;;;
01350;01138;CULOZ                                 ;;;;;
01560;01139;CURCIAT DONGALON                      ;;;;;
01310;01140;CURTAFOND                             ;;;;;
01300;01141;CUZIEU                                ;;;;;
01120;01142;DAGNEUX                               ;;;;;
01220;01143;DIVONNE LES BAINS                     ;;;;;
01380;01144;DOMMARTIN                             ;;;;;
01240;01145;DOMPIERRE SUR VEYLE                   ;DOMPIERRE SUR VEYLE;COMMUNAUTE D'AGGLOMERATION DE BOURG;0,75;;
01400;01146;DOMPIERRE SUR CHALARONNE              ;;;;;
01270;01147;DOMSURE                               ;;;;;
01590;01148;DORTAN                                ;;;;;
01500;01149;DOUVRES                               ;;;;;
01250;01150;DROM                                  ;;;;;
01160;01151;DRUILLAT                              ;;;;;
01130;01152;ECHALLON                              ;;;;;
01170;01153;ECHENEVEX                             ;;;;;
01340;01154;ETREZ                                 ;;;;;
01230;01155;EVOSGES                               ;;;;;
01800;01156;FARAMANS                              ;;;;;
01480;01157;FAREINS                               ;;;;;
01550;01158;FARGES                                ;;;;;
01570;01159;FEILLENS                              ;;;;;
01210;01160;FERNEY VOLTAIRE                       ;;;;;
01350;01162;FLAXIEU                               ;;;;;
01340;01163;FOISSIAT                              ;;;;;
01090;01165;FRANCHELEINS                          ;;;;;
01480;01166;FRANS                                 ;;;;;
01140;01167;GARNERANS                             ;;;;;
01090;01169;GENOUILLEUX                           ;;;;;
01460;01170;BEARD GEOVREISSIAT                    ;;;;;
01100;01171;GEOVREISSET                           ;;;;;
01250;01172;GERMAGNAT                             ;;;;;
01170;01173;GEX                                   ;;;;;
01130;01174;GIRON                                 ;;;;;
01190;01175;GORREVOD                              ;;;;;
01260;01176;LE GRAND ABERGEMENT                   ;;;;;
01250;01177;GRAND CORENT                          ;;;;;
01290;01179;GRIEGES                               ;;;;;
01220;01180;GRILLY                                ;;;;;
01100;01181;GROISSIAT                             ;;;;;
01680;01182;GROSLEE                               ;;;;;
01090;01183;GUEREINS                              ;;;;;
01250;01184;HAUTECOURT ROMANECHE                  ;;;;;
01110;01185;HAUTEVILLE LOMPNES                    ;;;;;
01110;01186;HOSTIAZ                               ;;;;;
01260;01187;HOTONNES                              ;;;;;
01140;01188;ILLIAT                                ;;;;;
01200;01189;INJOUX GENISSIAT                      ;;;;;
01680;01190;INNIMOND                              ;;;;;
01430;01191;IZENAVE                               ;;;;;
01580;01192;IZERNORE                              ;;;;;
01300;01193;IZIEU                                 ;;;;;
01480;01194;JASSANS RIOTTIER                      ;JASSANS RIOTTIER;SMT RHONE ET AGGLOMERATION LYONNAISE;0,3;SMT RHONE ET AGGLOMERATION LYONNAISE;0,3
01250;01195;JASSERON                              ;JASSERON;COMMUNAUTE D'AGGLOMERATION DE BOURG;0,75;;
01340;01196;JAYAT                                 ;;;;;
01250;01197;JOURNANS                              ;;;;;
01800;01198;JOYEUX                                ;;;;;
01640;01199;JUJURIEUX                             ;;;;;
01450;01200;LABALME                               ;;;;;
01150;01202;LAGNIEU                               ;;;;;
01290;01203;LAIZ                                  ;;;;;
01130;01204;LALLEYRIAT                            ;;;;;
01200;01205;LANCRANS                              ;;;;;
01430;01206;LANTENAY                              ;;;;;
01330;01207;LAPEYROUSE                            ;;;;;
01350;01208;LAVOURS                               ;;;;;
01200;01209;LEAZ                                  ;;;;;
01410;01210;LELEX                                 ;;;;;
01240;01211;LENT                                  ;LENT;COMMUNAUTE D'AGGLOMERATION DE BOURG;0,75;;
01560;01212;LESCHEROUX                            ;;;;;
01150;01213;LEYMENT                               ;;;;;
01450;01214;LEYSSARD                              ;;;;;
01420;01215;LHOPITAL                              ;;;;;
01680;01216;LHUIS                                 ;;;;;
01260;01218;LOCHIEU                               ;;;;;
01680;01219;LOMPNAS                               ;;;;;
01260;01221;LOMPNIEU                              ;;;;;
01360;01224;LOYETTES                              ;;;;;
01090;01225;LURCY                                 ;;;;;
01300;01227;MAGNIEU                               ;;;;;
01430;01228;MAILLAT                               ;;;;;
01340;01229;MALAFRETAZ                            ;;;;;
01560;01230;MANTENAY MONTLIN                      ;;;;;
01570;01231;MANZIAT                               ;;;;;
01851;01232;MARBOZ                                ;;;;;
01680;01233;MARCHAMP                              ;;;;;
01300;01234;MARIGNIEU                             ;;;;;
01240;01235;MARLIEUX                              ;;;;;
01340;01236;MARSONNAS                             ;;;;;
01100;01237;MARTIGNAT                             ;;;;;
01600;01238;MASSIEUX                              ;MASSIEUX;COMMUNAUTE DE COMMUNES SAONE;0,5;;
01300;01239;MASSIGNIEU DE RIVES                   ;;;;;
01580;01240;MATAFELON GRANGES                     ;;;;;
01370;01241;MEILLONNAS                            ;;;;;
01450;01242;MERIGNAT                              ;;;;;
01480;01243;MESSIMY SUR SAONE                     ;;;;;
01800;01244;MEXIMIEUX                             ;;;;;
01250;01245;BOHAS MEYRIAT RIGNAT                  ;;;;;
01660;01246;MEZERIAT                              ;;;;;
01170;01247;MIJOUX                                ;;;;;
01410;01247;MIJOUX                                ;;;;;
01390;01248;MIONNAY                               ;;;;;
01700;01249;MIRIBEL                               ;MIRIBEL;COMMUNAUTE DE COMMUNES DE MIRIBEL ET DU PLATEAU;0,6;;
01600;01250;MISERIEUX                             ;MISERIEUX;COMMUNAUTE DE COMMUNES SAONE;0,5;;
01140;01252;MOGNENEINS                            ;;;;;
01250;01254;MONTAGNAT                             ;;;;;
01470;01255;MONTAGNIEU                            ;;;;;
01200;01257;MONTANGES                             ;;;;;
01090;01258;MONTCEAUX                             ;;;;;
01310;01259;MONTCET                               ;MONTCET;COMMUNAUTE D'AGGLOMERATION DE BOURG;0,75;;
01800;01260;LE MONTELLIER                         ;;;;;
01390;01261;MONTHIEUX                             ;;;;;
01120;01262;MONTLUEL                              ;;;;;
01090;01263;MONTMERLE SUR SAONE                   ;;;;;
01310;01264;MONTRACOL                             ;MONTRACOL;COMMUNAUTE D'AGGLOMERATION DE BOURG;0,75;;
01460;01265;MONTREAL LA CLUSE                     ;;;;;
01340;01266;MONTREVEL EN BRESSE                   ;;;;;
01460;01267;NURIEUX VOLOGNAT                      ;;;;;
01300;01268;MURS ET GELIGNIEUX                    ;;;;;
01130;01269;NANTUA                                ;;;;;
01460;01269;NANTUA                                ;;;;;
01300;01271;NATTAGES                              ;;;;;
01400;01272;NEUVILLE LES DAMES                    ;;;;;
01160;01273;NEUVILLE SUR AIN                      ;;;;;
01130;01274;LES NEYROLLES                         ;;;;;
01700;01275;NEYRON                                ;NEYRON;COMMUNAUTE DE COMMUNES DE MIRIBEL ET DU PLATEAU;0,6;;
01120;01276;NIEVROZ                               ;;;;;
01230;01277;NIVOLLET MONTGRIFFON                  ;;;;;
01230;01279;ONCIEU                                ;;;;;
01510;01280;ORDONNAZ                              ;;;;;
01210;01281;ORNEX                                 ;;;;;
01430;01282;OUTRIAZ                               ;;;;;
01100;01283;OYONNAX                               ;;;;;
01190;01284;OZAN                                  ;;;;;
01600;01285;PARCIEUX                              ;PARCIEUX;COMMUNAUTE DE COMMUNES SAONE;0,5;;
01300;01286;PARVES                                ;;;;;
01630;01288;PERON                                 ;;;;;
01960;01289;PERONNAS                              ;PERONNAS;COMMUNAUTE D'AGGLOMERATION DE BOURG;0,75;;
01800;01290;PEROUGES                              ;;;;;
01540;01291;PERREX                                ;;;;;
01260;01292;LE PETIT ABERGEMENT                   ;;;;;
01430;01293;PEYRIAT                               ;;;;;
01300;01294;PEYRIEU                               ;;;;;
01140;01295;PEYZIEUX SUR SAONE                    ;;;;;
01270;01296;PIRAJOUX                              ;;;;;
01120;01297;PIZAY                                 ;;;;;
01130;01298;PLAGNE                                ;;;;;
01330;01299;LE PLANTAY                            ;;;;;
01130;01300;LE POIZAT                             ;;;;;
01310;01301;POLLIAT                               ;POLLIAT;COMMUNAUTE D'AGGLOMERATION DE BOURG;0,75;;
01350;01302;POLLIEU                               ;;;;;
01450;01303;PONCIN                                ;;;;;
01160;01304;PONT D AIN                            ;;;;;
01190;01305;PONT DE VAUX                          ;;;;;
01290;01306;PONT DE VEYLE                         ;;;;;
01460;01307;PORT                                  ;;;;;
01550;01308;POUGNY                                ;;;;;
01250;01309;POUILLAT                              ;;;;;
01300;01310;PREMEYZEL                             ;;;;;
01110;01311;PREMILLIEU                            ;;;;;
01370;01312;PRESSIAT                              ;;;;;
01280;01313;PREVESSIN MOENS                       ;;;;;
01160;01314;PRIAY                                 ;;;;;
01510;01316;PUGIEU                                ;;;;;
01250;01317;RAMASSE                               ;;;;;
01390;01318;RANCE                                 ;;;;;
01990;01319;RELEVANT                              ;;;;;
01750;01320;REPLONGES                             ;;;;;
01250;01321;REVONNAS                              ;;;;;
01600;01322;REYRIEUX                              ;REYRIEUX;COMMUNAUTE DE COMMUNES SAONE;0,5;;
01190;01323;REYSSOUZE                             ;;;;;
01800;01325;RIGNIEUX LE FRANC                     ;;;;;
01400;01328;ROMANS                                ;;;;;
01510;01329;ROSSILLON                             ;;;;;
01260;01330;RUFFIEU                               ;;;;;
01450;01331;ST ALBAN                              ;;;;;
01380;01332;ST ANDRE DE BAGE                      ;;;;;
01390;01333;ST ANDRE DE CORCY                     ;;;;;
01290;01334;ST ANDRE D HUIRIAT                    ;;;;;
01240;01335;ST ANDRE LE BOUCHOUX                  ;;;;;
01960;01336;ST ANDRE SUR VIEUX JONC               ;ST ANDRE SUR VIEUX JONC;COMMUNAUTE D'AGGLOMERATION DE BOURG;0,75;;
01190;01337;ST BENIGNE                            ;;;;;
01300;01338;ST BENOIT                             ;;;;;
01600;01339;ST BERNARD                            ;ST BERNARD;COMMUNAUTE DE COMMUNES SAONE;0,5;;
01300;01340;ST BOIS                               ;;;;;
01300;01341;ST CHAMP                              ;;;;;
01120;01342;STE CROIX                             ;;;;;
01380;01343;ST CYR SUR MENTHON                    ;;;;;
