CODGEO;REG;DEP;LIBGEO;Zone en vigueur depuis le 5 juillet 2024;Reclassement juillet 2024
01001;84;01;L'Abergement-Clémenciat;C;Non
01002;84;01;L'Abergement-de-Varey;C;Non
01004;84;01;Ambérieu-en-Bugey;B1;Non
01005;84;01;Ambérieux-en-Dombes;C;Non
01006;84;01;Ambléon;C;Non
01007;84;01;Ambronay;C;Non
01008;84;01;Ambutrix;C;Non
01009;84;01;Andert-et-Condon;C;Non
01010;84;01;Anglefort;C;Non
01011;84;01;Apremont;C;Non
01012;84;01;Aranc;C;Non
01013;84;01;Arandas;C;Non
01014;84;01;Arbent;C;Non
01015;84;01;Arboys en Bugey;C;Non
01016;84;01;Arbigny;C;Non
01017;84;01;Argis;C;Non
01019;84;01;Armix;C;Non
01021;84;01;Ars-sur-Formans;B2;Non
01022;84;01;Artemare;C;Non
01023;84;01;Asnières-sur-Saône;C;Non
01024;84;01;Attignat;C;Non
01025;84;01;Bâgé-Dommartin;C;Non
01026;84;01;Bâgé-le-Châtel;C;Non
01027;84;01;Balan;B2;Non
01028;84;01;Baneins;C;Non
01029;84;01;Beaupont;C;Non
01030;84;01;Beauregard;B2;Non
01031;84;01;Bellignat;C;Non
01032;84;01;Béligneux;B2;Non
01033;84;01;Valserhône;B1;Non
01034;84;01;Belley;C;Non
01035;84;01;Belleydoux;C;Non
01036;84;01;Valromey-sur-Séran;C;Non
01037;84;01;Bénonces;C;Non
01038;84;01;Bény;C;Non
01040;84;01;Béréziat;C;Non
01041;84;01;Bettant;C;Non
01042;84;01;Bey;C;Non
01043;84;01;Beynost;B1;Non
01044;84;01;Billiat;C;Non
01045;84;01;Birieux;C;Non
01046;84;01;Biziat;C;Non
01047;84;01;Blyes;C;Non
01049;84;01;La Boisse;B1;Non
01050;84;01;Boissey;C;Non
01051;84;01;Bolozon;C;Non
01052;84;01;Bouligneux;C;Non
01053;84;01;Bourg-en-Bresse;B1;Non
01054;84;01;Bourg-Saint-Christophe;C;Non
01056;84;01;Boyeux-Saint-Jérôme;C;Non
01057;84;01;Boz;C;Non
01058;84;01;Brégnier-Cordon;C;Non
01060;84;01;Brénod;C;Non
01061;84;01;Brens;C;Non
01062;84;01;Bressolles;B2;Non
01063;84;01;Brion;C;Non
01064;84;01;Briord;C;Non
01065;84;01;Buellas;C;Non
01066;84;01;La Burbanche;C;Non
01067;84;01;Ceignes;C;Non
01068;84;01;Cerdon;C;Non
01069;84;01;Certines;C;Non
01071;84;01;Cessy;A;Non
01072;84;01;Ceyzériat;C;Non
01073;84;01;Ceyzérieu;C;Non
01074;84;01;Chalamont;C;Non
01075;84;01;Chaleins;C;Non
01076;84;01;Chaley;C;Non
01077;84;01;Challes-la-Montagne;C;Non
01078;84;01;Challex;A;Oui
01079;84;01;Champagne-en-Valromey;C;Non
01080;84;01;Champdor-Corcelles;C;Non
01081;84;01;Champfromier;C;Non
01082;84;01;Chanay;C;Non
01083;84;01;Chaneins;C;Non
01084;84;01;Chanoz-Châtenay;C;Non
01085;84;01;La Chapelle-du-Châtelard;C;Non
01087;84;01;Charix;C;Non
01088;84;01;Charnoz-sur-Ain;C;Non
01089;84;01;Château-Gaillard;C;Non
01090;84;01;Châtenay;C;Non
01092;84;01;Châtillon-la-Palud;C;Non
01093;84;01;Châtillon-sur-Chalaronne;C;Non
01094;84;01;Chavannes-sur-Reyssouze;C;Non
01095;84;01;Nivigne et Suran;C;Non
01096;84;01;Chaveyriat;C;Non
01098;84;01;Chazey-Bons;C;Non
01099;84;01;Chazey-sur-Ain;C;Non
01100;84;01;Cheignieu-la-Balme;C;Non
01101;84;01;Chevillard;C;Non
01102;84;01;Chevroux;C;Non
01103;84;01;Chevry;A;Oui
01104;84;01;Chézery-Forens;B2;Non
01105;84;01;Civrieux;B1;Oui
01106;84;01;Cize;C;Non
01107;84;01;Cleyzieu;C;Non
01108;84;01;Coligny;C;Non
01109;84;01;Collonges;A;Non
01110;84;01;Colomieu;C;Non
01111;84;01;Conand;C;Non
01112;84;01;Condamine;C;Non
01113;84;01;Condeissiat;C;Non
01114;84;01;Confort;B2;Non
01115;84;01;Confrançon;C;Non
01116;84;01;Contrevoz;C;Non
01117;84;01;Conzieu;C;Non
01118;84;01;Corbonod;C;Non
01121;84;01;Corlier;C;Non
01123;84;01;Cormoranche-sur-Saône;C;Non
01124;84;01;Cormoz;C;Non
01125;84;01;Corveissiat;C;Non
01127;84;01;Courmangoux;C;Non
01128;84;01;Courtes;C;Non
01129;84;01;Crans;C;Non
01130;84;01;Bresse Vallons;C;Non
01133;84;01;Cressin-Rochefort;C;Non
01134;84;01;Crottet;C;Non
01135;84;01;Crozet;B1;Non
01136;84;01;Cruzilles-lès-Mépillat;C;Non
01138;84;01;Culoz-Béon;C;Non
01139;84;01;Curciat-Dongalon;C;Non
01140;84;01;Curtafond;C;Non
01141;84;01;Cuzieu;C;Non
01142;84;01;Dagneux;B1;Non
01143;84;01;Divonne-les-Bains;Abis;Oui
01145;84;01;Dompierre-sur-Veyle;C;Non
01146;84;01;Dompierre-sur-Chalaronne;C;Non
01147;84;01;Domsure;C;Non
