var,2003,2004,2005,2006,2007,2008
sali,479551000000,491043000000,504802000000,527903000000,548340000000,561110000000
choi,25522446172,27936047162,29896949944,27248336302,25927208740,25026311436
fra,21188961007,21817224789,22290076783,23543570750,24913749450,25761021989
hsup,0,0,0,0,1919435138,11601356962
ppe_du_sa,6341839755,6412654744,5645284280,5740669222,5884357381,5698940278
ppe_du_ns,19890378,22539590,23296171,25010298,25161055,25474140
rsti,173707000000,182680000000,195446000000,205844000000,217074000000,228180000000
alr,5172335637,5439505028,5247196361,5390756726,5406589755,5393787191
frag_exon,4826617,5166439,6763640,6285111,6698878,6665002
frag_impo,1201376421,879215190,983070069,896512850,1002393616,883970587
arag_exon,4903611,6624022,30410132,29438204,19549590,52427256
arag_impg,4997667095,5040046582,4926170469,5150417953,6004619448,6515953706
arag_defi,326769044,427189029,486985292,519217942,466504608,569823886
nrag_exon,1897158,2136727,6647136,5947768,2961232,8306767
nrag_impg,280046187,276905855,262464158,165830038,143866961,131407929
nrag_defi,132033958,176530329,223430449,208934263,195452860,227872677
nrag_ajag,119351890,130362725,158762871,222049148,277182943,298854347
mbic_exon,51223432,53499660,95408953,86078065,105915284,100675586
abic_exon,312941703,442229295,923575613,1177952916,1197649944,1082987175
nbic_exon,366791352,382378668,470689739,492544792,487972770,421237819
mbic_impv,1870782656,1943004862,2006917097,2100010417,2162966191,2168760464
mbic_imps,897396227,948327908,988062193,1057721166,1129777677,1195815531
abic_impn,5881487604,5970684843,5783133334,5691594567,5712642664,5245932336
abic_imps,11345913706,11382978392,10910200092,10888542213,11210594255,10559353834
nbic_impn,448551795,484875796,461149002,429079540,379822623,317547475
nbic_imps,2916714253,2776800782,2649590510,2565531277,2185883689,2045325826
abic_defn,147420671,147808977,182236699,179728232,173594589,204534148
abic_defs,247971116,281713467,330650180,357998816,405793465,430917149
nbic_defn,230150151,211111208,221045910,215328631,184339320,196226816
nbic_defs,613987251,619506742,698777716,673996342,647948774,673665399
nbic_apch,2964625,3096456,2685524,2952815,3597977,3103905
macc_exon,8041638,9461848,25538601,26367791,26264331,27043866
aacc_exon,4905369,9747985,28883926,16074198,23751987,18653165
