"L ABERGEMENT CLEMENCIAT";"L'Abergement-Clémenciat";"01400";"01001";3
"L ABERGEMENT DE VAREY";"L'Abergement-de-Varey";"01640";"01002";3
"AMBERIEU EN BUGEY";"Ambérieu-en-Bugey";"01500";"01004";3
"AMBERIEUX EN DOMBES";"Ambérieux-en-Dombes";"01330";"01005";3
"AMBLEON";"Ambléon";"01300";"01006";3
"AMBRONAY";"Ambronay";"01500";"01007";3
"AMBUTRIX";"Ambutrix";"01500";"01008";3
"ANDERT ET CONDON";"Andert-et-Condon";"01300";"01009";3
"ANGLEFORT";"Anglefort";"01350";"01010";3
"APREMONT";"Apremont";"01100";"01011";3
"ARANC";"Aranc";"01110";"01012";3
"ARANDAS";"Arandas";"01230";"01013";3
"ARBENT";"Arbent";"01100";"01014";3
"ARBIGNIEU";"Arbignieu";"01300";"01015";3
"ARBIGNY";"Arbigny";"01190";"01016";3
"ARGIS";"Argis";"01230";"01017";3
"ARMIX";"Armix";"01510";"01019";3
"ARS SUR FORMANS";"Ars-sur-Formans";"01480";"01021";3
"ARTEMARE";"Artemare";"01510";"01022";3
"ASNIERES SUR SAONE";"Asnières-sur-Saône";"01570";"01023";3
"ATTIGNAT";"Attignat";"01340";"01024";3
"BAGE LA VILLE";"Bâgé-la-Ville";"01380";"01025";3
"BAGE LE CHATEL";"Bâgé-le-Châtel";"01380";"01026";3
"BALAN";"Balan";"01360";"01027";3
"BANEINS";"Baneins";"01990";"01028";3
"BEAUPONT";"Beaupont";"01270";"01029";3
"BEAUREGARD";"Beauregard";"01480";"01030";3
"BELLIGNAT";"Bellignat";"01100";"01031";3
"BELIGNEUX";"Béligneux";"01360";"01032";3
"BELLEGARDE SUR VALSERINE";"Bellegarde-sur-Valserine";"01200";"01033";3
"BELLEY";"Belley";"01300";"01034";3
"BELLEY";"Belley";"01130";"01034";3
"BELLEYDOUX";"Belleydoux";"01130";"01035";3
"BELMONT LUTHEZIEU";"Belmont-Luthézieu";"01260";"01036";3
"BENONCES";"Bénonces";"01470";"01037";3
"BENY";"Bény";"01370";"01038";3
"BEON";"Béon";"01350";"01039";3
"BEREZIAT";"Béréziat";"01340";"01040";3
"BETTANT";"Bettant";"01500";"01041";3
"BEY";"Bey";"01290";"01042";3
"BEY";"Bey";"01700";"01042";3
"BEYNOST";"Beynost";"01700";"01043";2
"BILLIAT";"Billiat";"01200";"01044";3
"BIRIEUX";"Birieux";"01330";"01045";3
"BIZIAT";"Biziat";"01290";"01046";3
"BLYES";"Blyes";"01150";"01047";3
"LA BOISSE";"La Boisse";"01120";"01049";3
"BOISSEY";"Boissey";"01190";"01050";3
"BOISSEY";"Boissey";"01380";"01050";3
"BOLOZON";"Bolozon";"01450";"01051";3
"BOULIGNEUX";"Bouligneux";"01330";"01052";3
"BOURG EN BRESSE";"Bourg-en-Bresse";"01000";"01053";3
"BOURG ST CHRISTOPHE";"Bourg-Saint-Christophe";"01800";"01054";3
"BOYEUX ST JEROME";"Boyeux-Saint-Jérôme";"01640";"01056";3
"BOZ";"Boz";"01190";"01057";3
"BREGNIER CORDON";"Brégnier-Cordon";"01300";"01058";3
"BRENAZ";"Brénaz";"01260";"01059";3
"BRENOD";"Brénod";"01110";"01060";3
"BRENS";"Brens";"01300";"01061";3
"BRESSOLLES";"Bressolles";"01360";"01062";3
"BRION";"Brion";"01460";"01063";3
"BRIORD";"Briord";"01470";"01064";3
"BUELLAS";"Buellas";"01310";"01065";3
"LA BURBANCHE";"La Burbanche";"01510";"01066";3
"CEIGNES";"Ceignes";"01430";"01067";3
"CERDON";"Cerdon";"01450";"01068";3
"CERTINES";"Certines";"01240";"01069";3
"CESSY";"Cessy";"01170";"01071";2
"CEYZERIAT";"Ceyzériat";"01250";"01072";3
"CEYZERIEU";"Ceyzérieu";"01350";"01073";3
"CHALAMONT";"Chalamont";"01320";"01074";3
"CHALEINS";"Chaleins";"01480";"01075";3
"CHALEY";"Chaley";"01230";"01076";3
"CHALLES LA MONTAGNE";"Challes-la-Montagne";"01450";"01077";3
"CHALLEX";"Challex";"01630";"01078";2
"CHAMPAGNE EN VALROMEY";"Champagne-en-Valromey";"01260";"01079";3
"CHAMPDOR";"Champdor";"01110";"01080";3
"CHAMPFROMIER";"Champfromier";"01410";"01081";3
"CHANAY";"Chanay";"01420";"01082";3
"CHANEINS";"Chaneins";"01990";"01083";3
"CHANOZ CHATENAY";"Chanoz-Châtenay";"01400";"01084";3
"LA CHAPELLE DU CHATELARD";"La Chapelle-du-Châtelard";"01240";"01085";3
"CHARIX";"Charix";"01130";"01087";3
"CHARNOZ SUR AIN";"Charnoz-sur-Ain";"01800";"01088";3
"CHATEAU GAILLARD";"Château-Gaillard";"01500";"01089";3
"CHATENAY";"Châtenay";"01320";"01090";3
"CHATILLON EN MICHAILLE";"Châtillon-en-Michaille";"01200";"01091";3
"CHATILLON LA PALUD";"Châtillon-la-Palud";"01320";"01092";3
"CHATILLON SUR CHALARONNE";"Châtillon-sur-Chalaronne";"01400";"01093";3
"CHAVANNES SUR REYSSOUZE";"Chavannes-sur-Reyssouze";"01190";"01094";3
"CHAVANNES SUR SURAN";"Chavannes-sur-Suran";"01250";"01095";3
"CHAVEYRIAT";"Chaveyriat";"01660";"01096";3
"CHAVORNAY";"Chavornay";"01510";"01097";3
"CHAZEY BONS";"Chazey-Bons";"01300";"01098";3
"CHAZEY SUR AIN";"Chazey-sur-Ain";"01150";"01099";3
"CHEIGNIEU LA BALME";"Cheignieu-la-Balme";"01510";"01100";3
"CHEVILLARD";"Chevillard";"01430";"01101";3
"CHEVROUX";"Chevroux";"01190";"01102";3
"CHEVRY";"Chevry";"01170";"01103";2
"CHEZERY FORENS";"Chézery-Forens";"01200";"01104";3
