PSDC99;Pop_mun_2006;Zone;REG;POL99;TU99;TAU99
728;811;3;82;3;0;0
168;198;3;82;3;0;0
11436;12709;3;82;1;3;1
1408;1436;3;82;2;0;9
86;120;3;82;2;0;2
2146;2241;3;82;3;0;0
586;641;3;82;3;0;0
275;319;3;82;2;0;2
769;900;3;82;4;0;0
329;333;3;82;2;0;5
275;285;3;82;4;0;0
135;155;3;82;4;0;0
3610;3464;3;82;1;4;5
431;464;3;82;2;0;2
332;349;3;82;4;0;0
390;424;3;82;4;0;0
15;25;3;82;3;0;0
1102;1244;3;82;2;0;9
970;1074;3;82;4;0;0
69;92;3;82;2;0;6
1924;2487;3;82;2;0;7
2314;2623;3;82;2;1;6
762;802;3;82;2;1;6
1534;2332;3;82;2;0;9
529;595;3;82;3;0;0
492;553;3;82;4;0;0
817;895;3;82;1;5;6
3488;3488;3;82;1;4;5
2594;2819;3;82;2;0;9
10846;11497;3;82;4;3;0
8004;8466;3;82;1;2;2
277;291;3;82;2;0;5
394;461;3;82;4;0;0
243;267;3;82;4;0;0
613;714;3;82;2;0;7
364;356;3;82;4;1;0
340;358;3;82;2;0;7
683;707;3;82;3;0;0
221;236;3;82;2;0;6
3530;4174;2;82;1;7;9
411;440;3;82;4;0;0
145;211;3;82;2;0;9
641;749;3;82;3;0;0
692;920;3;82;2;0;9
2709;2753;3;82;1;7;9
202;222;3;82;3;0;0
94;99;3;82;3;0;0
290;302;3;82;2;0;9
40666;40156;3;82;1;5;7
824;1035;3;82;2;2;9
277;305;3;82;4;0;0
359;481;3;82;2;0;6
566;671;3;82;4;0;0
105;93;3;82;4;0;0
427;511;3;82;4;0;0
731;854;3;82;1;2;2
590;689;3;82;2;0;9
559;511;3;82;4;0;0
675;833;3;82;4;0;0
1288;1650;3;82;2;0;7
56;63;3;82;3;0;0
230;282;3;82;4;0;0
672;766;3;82;4;0;0
1288;1414;3;82;2;0;7
2283;3233;2;82;2;3;8
2390;2569;3;82;2;1;7
814;876;3;82;3;0;0
1658;2012;3;82;3;0;0
1025;1181;3;82;3;0;0
106;118;3;82;4;0;0
200;189;3;82;4;0;0
1057;1059;2;82;2;0;8
674;691;3;82;4;0;0
425;438;3;82;4;0;0
593;606;3;82;4;0;0
573;601;3;82;4;0;0
560;833;3;82;3;0;0
492;617;3;82;3;0;0
263;276;3;82;3;0;0
265;289;3;82;4;0;0
810;889;3;82;2;0;9
1370;1668;3;82;3;0;0
308;335;3;82;3;0;0
2641;2948;3;82;4;1;0
1074;1395;3;82;2;0;9
4137;4813;3;82;4;1;0
580;648;3;82;4;0;0
485;617;3;82;3;0;0
810;885;3;82;2;0;7
174;176;3;82;4;0;0
664;705;3;82;2;0;2
1200;1339;3;82;2;0;9
112;139;3;82;3;0;0
132;180;3;82;4;0;0
657;823;3;82;2;0;6
803;1118;2;82;2;0;8
369;399;3;82;4;0;0
1079;1340;3;82;2;0;9
127;141;3;82;3;0;0
116;135;3;82;3;0;0
1091;1140;3;82;3;0;0
1106;1221;2;82;2;0;8
128;119;3;82;2;0;2
69;104;3;82;3;0;0
285;362;3;82;4;0;0
649;733;3;82;3;0;0
499;514;3;82;4;0;0
862;1048;3;82;2;0;7
430;459;3;82;2;0;2
100;102;3;82;2;0;2
898;1079;3;82;4;1;0
221;198;3;82;4;0;0
73;109;3;82;4;0;0
726;835;3;82;4;0;0
904;1009;3;82;2;0;6
512;497;3;82;3;0;0
469;504;3;82;3;0;0
360;461;3;82;2;0;7
218;240;3;82;4;0;0
258;273;3;82;2;0;9
907;1091;3;82;2;0;7
308;348;3;82;2;0;2
1477;1649;3;82;2;1;6
1349;1673;2;82;2;0;8
651;768;3;82;2;0;6
2622;2954;3;82;4;1;0
404;421;3;82;4;0;0
590;662;3;82;2;0;7
304;371;3;82;2;0;2
3757;3906;2;82;1;7;9
6171;7400;2;82;2;2;8
600;756;3;82;2;0;6
968;1147;3;82;3;0;0
279;346;3;82;4;0;0
403;460;3;82;4;0;0
2186;2100;3;82;2;0;5
646;915;3;82;3;0;0
160;166;3;82;2;0;7
882;1092;3;82;3;0;0
663;760;3;82;2;0;5
1197;1462;3;82;2;0;8
642;754;3;82;2;0;7
109;128;3;82;4;0;0
592;635;3;82;2;0;9
1684;1894;3;82;2;0;6
594;795;2;82;2;0;8
2933;3112;3;82;2;1;6
7083;7661;3;82;1;6;8
50;52;3;82;3;0;0
1562;1776;3;82;2;0;7
994;1125;3;82;3;0;0
1848;1929;2;82;1;5;6
565;623;3;82;3;0;0
399;541;3;82;4;0;0
714;865;3;82;4;0;0
759;871;3;82;2;0;5
92;133;3;82;3;0;0
7733;9323;2;82;2;3;8
100;135;3;82;4;0;0
561;648;3;82;4;1;0
108;103;3;82;4;0;0
111;123;3;82;3;0;0
1598;1713;3;82;2;0;6
612;675;2;82;2;0;8
747;1079;3;82;1;4;5
333;352;3;82;4;0;0
1065;1184;3;82;3;1;0
676;731;3;82;3;0;0
3662;4125;3;82;4;1;0
62;76;3;82;3;0;0
295;299;3;82;4;0;0
466;517;3;82;4;0;0
970;937;3;82;4;0;0
95;108;3;82;4;0;0
146;151;3;82;4;0;0
1656;2140;3;82;4;0;0
178;184;3;82;3;0;0
5338;5879;2;82;1;5;6
1256;1363;3;82;2;0;7
773;937;3;82;2;1;7
330;323;3;82;2;0;7
206;227;3;82;2;0;9
1700;1950;3;82;3;1;0
135;152;3;82;4;0;0
5882;6643;3;82;3;2;0
986;1095;3;82;2;1;6
195;223;3;82;4;0;0
935;1005;3;82;4;3;0
260;257;3;82;4;0;0
226;286;3;82;2;0;9
117;124;3;82;2;0;2
481;502;2;82;2;0;8
221;225;3;82;4;0;0
1145;1239;3;82;2;0;7
597;657;3;82;2;0;7
922;1185;3;82;2;0;9
143;163;3;82;4;0;0
49;56;3;82;4;0;0
724;805;3;82;4;0;0
73;86;3;82;4;0;0
147;174;3;82;4;0;0
103;96;3;82;4;0;0
2322;2418;3;82;2;4;9
257;379;3;82;3;0;0
291;399;3;82;2;0;2
664;640;3;82;4;0;0
674;840;3;82;2;1;7
246;276;3;82;3;0;0
1598;1827;3;82;2;0;6
2164;2195;3;82;2;0;7
108;112;3;82;3;0;0
156;165;3;82;2;0;2
677;759;3;82;2;0;9
727;841;3;82;2;0;7
1265;1527;3;82;2;0;5
2120;2382;2;82;1;7;9
498;564;3;82;2;0;2
483;641;3;82;2;0;5
1204;1305;3;82;2;0;7
114;131;3;82;4;0;0
931;1100;3;82;3;0;0
6840;7384;3;82;2;2;9
727;795;3;82;2;0;7
1911;1993;3;82;3;0;0
312;376;3;82;4;0;0
2109;2155;3;82;2;0;9
8539;8847;2;82;1;7;9
1430;1694;3;82;1;7;9
572;647;3;82;4;0;0
1421;1549;3;82;2;0;7
386;461;3;82;4;0;0
282;330;3;82;4;0;0
908;1041;3;82;3;0;0
489;647;3;82;2;0;7
221;217;3;82;2;0;9
578;591;3;82;2;0;9
6454;6478;2;82;1;7;9
