variable,entite,label,nb_fichiers,nb_utilisations,exemples_fichiers
aacc_defn,individus,Déficits industriels et commerciaux non professionnels: régime normal ou simplifié avec CGA ou viseur (régime du bénéfice réel),1,3,calculateur_impots/yaml/regime_benef_reel_BIC_nonpro_avec_cga.yaml
aacc_exon,individus,Revenus industriels et commerciaux non professionnels exonérés yc plus-values avec CGA ou viseur (régime du bénéfice réel),1,3,calculateur_impots/yaml/regime_benef_reel_BIC_nonpro_avec_cga.yaml
aacc_gits,individus,"Location de gîtes ruraux, chambres d",1,3,calculateur_impots/yaml/regime_micro_BIC_location.yaml
aacc_impn,individus,Revenus industriels et commerciaux non professionnels imposables: régime normal ou simplifié avec CGA ou viseur (régime du bénéfice réel),2,4,calculateur_impots/yaml/regime_benef_reel_BIC_nonpro_avec_cga.yaml; calculateur_impots/yaml/regime_benef_reel_BIC_location_avec_cga.yaml
aacc_imps,individus,Locations meublées non professionnelles (régime micro entreprise),1,3,calculateur_impots/yaml/regime_micro_BIC_location.yaml
aacc_pvce,individus,Plus-values industrielles et commerciales non professionnelles de cession taxables selon droit commun avec CGA ou viseur (régime du bénéfice réel),1,3,calculateur_impots/yaml/regime_benef_reel_BIC_nonpro_avec_cga.yaml
aah,individus,Allocation adulte handicapé mensualisée,19,37,formulas/cs/css_abattement_asi.yaml; mes-aides.gouv.fr/ludwig_test_1515421207606.yaml; formulas/ass_04_2018.yaml; ... et 16 autres
aah_base_ressources_conjugalisee,individus,Base ressources de l,2,10,formulas/aah/aah_couple.yaml; formulas/aah/aah_famille.yaml
aah_eligible,individus,Eligibilité à l,2,8,formulas/aah/aah_couple.yaml; formulas/aah/aah_famille.yaml
abic_defm,individus,Déficits de locations meubléesavec CGA ou viseur (régime du bénéfice réel pour les revenus industriels et commerciaux professionnels),1,2,calculateur_impots/yaml/regime_benef_reel_BIC_pro_avec_cga.yaml
abic_defn,individus,Déficits industriels et commerciaux: régime normal ou simplifié avec CGA ou viseur (régime du bénéfice réel),1,3,calculateur_impots/yaml/regime_benef_reel_BIC_pro_avec_cga.yaml
